,105 PRIMARY KEY,126,127 varchar,136,145,146,152,CHECK,"CHECK, PRIMARY KEY",PRIMARY KEY,UNIQUE,bool,bytea,char,date,null,numeric,timestamp,uuid,varchar
105 PRIMARY KEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127 varchar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHECK,0,0,0,0,0,0,0,113,0,0,0,0,0,18,10,7,75,64,0,12
"CHECK, PRIMARY KEY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,0,0
PRIMARY KEY,1,1,1,1,1,1,1,91,0,15,0,0,0,21,1,17,0,8,0,108
UNIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
bool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
char,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null,0,0,0,0,0,0,0,148,0,3,0,41,4,13,0,18,17,174,69,195
numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timestamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uuid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
varchar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
