,105 PRIMARY KEY,126,127 varchar,136,145,146,152,CHECK,PRIMARY KEY,bool,bytea,char,date,int,null,numeric,smallint,timestamp,uuid,varchar
105 PRIMARY KEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127 varchar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHECK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY KEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
bytea,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
char,0,0,0,0,0,0,0,30,4,0,0,36,0,0,0,0,0,0,0,6
date,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0
int,1,1,1,1,1,1,1,164,10,0,0,8,1,0,23,2,0,0,0,168
null,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,1,0,0
numeric,0,0,0,0,0,0,0,20,0,0,0,4,0,0,3,90,0,0,0,3
smallint,0,0,0,0,0,0,0,81,0,0,0,1,0,0,3,0,0,0,0,13
timestamp,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,257,0,0
uuid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
varchar,0,0,0,0,0,0,0,29,4,0,0,3,0,0,4,0,0,0,0,125
