,2006,CHECK,"CHECK, PRIMARY KEY",PRIMARY KEY,bool,bytea,char,date,int,null,numeric,timestamp,uuid,varchar
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHECK,0,39,0,5,0,0,12,1,3,16,54,28,0,0
"CHECK, PRIMARY KEY",0,0,0,0,0,0,0,0,0,0,0,3,0,0
PRIMARY KEY,0,24,0,71,0,0,3,0,8,29,3,1,0,6
bool,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
char,0,0,0,0,0,0,0,0,0,0,0,0,0,0
date,0,0,0,0,0,0,0,0,0,0,0,0,0,0
int,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null,1,38,0,10,20,3,6,0,7,69,7,90,26,55
numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timestamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uuid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
varchar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
