,2006,CHECK,PRIMARY KEY,bool,bytea,char,date,int,null,numeric,smallint,timestamp,uuid,varchar
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHECK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY KEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool,0,0,0,20,0,0,0,0,0,0,0,0,0,0
bytea,0,0,0,0,3,0,0,0,0,0,0,0,0,0
char,0,14,6,0,0,19,0,0,3,1,0,0,0,0
date,0,1,0,0,0,0,1,0,0,0,0,0,0,0
int,0,43,66,0,0,0,0,17,70,8,0,0,0,2
null,0,5,0,0,0,0,0,0,8,0,0,0,0,0
numeric,0,2,1,0,0,0,0,0,10,48,0,0,0,0
smallint,1,18,8,0,0,0,0,1,14,7,0,0,0,0
timestamp,0,8,0,0,0,0,0,0,0,0,0,122,0,0
uuid,0,0,0,0,0,0,0,0,1,0,0,0,26,0
varchar,0,10,5,0,0,2,0,0,8,0,0,0,0,59
