,CHECK,PRIMARY KEY,bool,bytea,char,date,int,null,numeric,smallint,timestamp,uuid,varchar
CHECK,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY KEY,0,0,0,0,0,0,0,0,0,0,0,0,0
bool,0,0,20,0,0,0,0,0,0,0,0,0,0
bytea,0,0,0,3,0,0,0,0,0,0,0,0,0
char,3,5,0,0,19,0,1,15,0,0,0,0,0
date,0,0,0,0,0,1,0,1,0,0,0,0,0
int,23,32,0,0,0,0,72,70,8,0,0,0,1
null,0,0,0,0,0,0,0,13,0,0,0,0,0
numeric,0,1,0,0,0,0,0,9,51,0,0,0,0
smallint,11,1,0,0,0,0,8,22,7,0,0,0,0
timestamp,0,0,0,0,0,0,0,8,0,0,122,0,0
uuid,0,0,0,0,0,0,0,0,0,0,0,27,0
varchar,0,5,0,0,2,0,0,15,0,0,0,1,61
