epoch,train_loss,val_loss,val_accuracy_datatypes,val_precision_datatypes,val_recall_datatypes,val_f1_datatypes,val_accuracy_constraints,val_precision_constraints,val_recall_constraints,val_f1_constraints
1,2.1599893089733087,0.5094789448194206,0.0,0.0,0.0,0.0,0.03125,0.3571428571428571,0.03125,0.05747126436781609
2,0.5552047092933208,0.4295639062765986,0.03125,0.0625,0.03125,0.041666666666666664,0.125,0.37037037037037035,0.125,0.1869158878504673
3,0.4586327822180465,0.4078870133962482,0.0625,0.0625,0.0625,0.0625,0.125,0.37037037037037035,0.125,0.1869158878504673
4,0.4017858761071693,0.3820800125831738,0.0625,0.0625,0.0625,0.0625,0.1328125,0.5813078703703703,0.1328125,0.20198285213618158
5,0.3618281862291042,0.3561850165715441,0.0703125,0.28125,0.0703125,0.0875,0.1171875,0.5609375000000001,0.1171875,0.18173363095238093
6,0.33866762396064587,0.3823216687887907,0.15625,0.3515625,0.15625,0.1999599358974359,0.0703125,0.5234375,0.0703125,0.11923363095238097
7,0.3261859907070175,0.33751348324585706,0.1015625,0.421875,0.1015625,0.13942384370015948,0.1171875,0.4961309523809524,0.1171875,0.18887298886138615
8,0.3197232800303027,0.3549319936428219,0.15625,0.421875,0.15625,0.2043859649122807,0.0859375,0.49934895833333337,0.0859375,0.1464261942429387
9,0.30974118344602175,0.3551170058781281,0.1328125,0.28125,0.1328125,0.17696886446886448,0.0859375,0.5050551470588236,0.0859375,0.14528028350515462
10,0.3062896897899918,0.3580225530313328,0.1640625,0.365625,0.1640625,0.2184155518394649,0.125,0.59765625,0.125,0.20652910450865128
11,0.29897488161805086,0.40258101641666144,0.140625,0.28125,0.140625,0.18173076923076925,0.1015625,0.59765625,0.1015625,0.17112032312925168
12,0.29675645427778363,0.30157485778909177,0.2265625,0.3671875,0.2265625,0.26510416666666664,0.078125,0.7018229166666666,0.078125,0.14059406768325305
13,0.29209764261031523,0.32296461216174066,0.3203125,0.484375,0.3203125,0.3642136949202167,0.0390625,0.60546875,0.0390625,0.07337094320486816
14,0.2902471134730149,0.3533712188946083,0.3125,0.4921875,0.3125,0.36344975490196074,0.046875,0.46484375,0.046875,0.08515963203463203
15,0.29376897268230096,0.2831824157619849,0.203125,0.3234375,0.203125,0.2298363095238095,0.1640625,0.4742313508064516,0.1640625,0.24142552878965923
16,0.28314370222506113,0.2833418509690091,0.34375,0.5419034090909091,0.34375,0.4013230363984674,0.09375,0.6385216346153846,0.09375,0.16301843317972353
17,0.28173612427781336,0.28654587862547487,0.359375,0.55625,0.359375,0.4180059523809524,0.1015625,0.666700487012987,0.1015625,0.17406000861883214
18,0.27979091060115024,0.28597355214878917,0.3828125,0.51171875,0.3828125,0.43072916666666666,0.0859375,0.7377232142857143,0.0859375,0.14970337566844918
19,0.2792407229426317,0.28217136091552675,0.3828125,0.53515625,0.3828125,0.4328598484848485,0.109375,0.7364583333333333,0.109375,0.1854616477272727
20,0.27526051123277284,0.27581290318630636,0.34375,0.5279017857142857,0.34375,0.4000228287337662,0.171875,0.7728174603174602,0.171875,0.2731154421542553
21,0.2744876282813493,0.27551428915467113,0.375,0.5170940170940171,0.375,0.4182345317159122,0.1328125,0.6057942708333334,0.1328125,0.2072172619047619
22,0.2718526682583615,0.29162558645475656,0.4296875,0.5071180555555556,0.4296875,0.4570039947797301,0.109375,0.7655048076923077,0.109375,0.1503048037739192
23,0.27119082762510516,0.29356916015967727,0.4453125,0.564453125,0.4453125,0.48040917415917417,0.1171875,0.79541015625,0.1171875,0.1615658580267014
24,0.26885555623448454,0.2858732156455517,0.4296875,0.565625,0.4296875,0.4673768939393939,0.1328125,0.8381696428571428,0.1328125,0.1840642507002801
25,0.2682908360147849,0.29446258675307035,0.4453125,0.5515324519230769,0.4453125,0.47634331394412044,0.1015625,0.7992788461538461,0.1015625,0.15016119164156627
26,0.2679472137533594,0.28459037200082093,0.453125,0.5770089285714286,0.453125,0.4866291260822511,0.1484375,0.745,0.1484375,0.18477957589285715
27,0.26554810878587887,0.2925952353980392,0.4296875,0.5740411931818182,0.4296875,0.4749138541733694,0.1640625,0.917578125,0.1640625,0.22318135487368024
28,0.26671992885530926,0.2940413614269346,0.453125,0.5633928571428571,0.453125,0.4862571022727273,0.1171875,0.857421875,0.1171875,0.16820756528417818
29,0.2652088724425994,0.28506458178162575,0.4375,0.5633928571428571,0.4375,0.47785229952830194,0.15625,0.7880859375,0.15625,0.20857405462184872
30,0.26205471347202547,0.27602469467092305,0.453125,0.560546875,0.453125,0.48941215034965035,0.125,0.7789663461538462,0.125,0.16595278171509567
