epoch,Training Loss,Validation Loss,Accuracy,F1 Score,Precision,Recall,Epoch Time,Confusion Matrix
1,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.628231525421143,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
2,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.090649366378784,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
3,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.022037267684937,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
4,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.72205924987793,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
5,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,26.458499431610107,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
6,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.945127725601196,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
7,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.41974663734436,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
8,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.361311674118042,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
9,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.444802045822144,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
10,0.004452244274096359,0.0033033623813852582,0.0,0.0,0.0,0.0,25.429961442947388,"[[0 0 0 ... 0 0 0]
 [3 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]]"
