epoch,Training Loss,Validation Loss,Accuracy,F1 Score,Precision,Recall,Epoch Time,Confusion Matrix
1,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.883691787719727,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
2,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.888515949249268,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
3,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.840873956680298,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
4,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.813791990280151,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
5,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.804745674133301,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
6,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.863370895385742,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
7,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.8223655223846436,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
8,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.862636089324951,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
9,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.7962892055511475,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
10,0.006918382937258754,0.04517171485349536,0.0,0.0,0.0,0.0,7.933203220367432,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]]"
